id,Rows_Timeline Chart,Columns_Timeline Chart,Category,Date_Born,Full Name,Gender,Id,Is Recipient Active,Table Name_Award Only,Table Name_Birth Death,Born country,Date_Award,Date_Died,Date_Earliest,Date_End,First Name,Last Name,Motivation,Motivaton_Cleaned,Table Name,Age (Years) at Award,Decade_Born,Year,Born_Country_Latitude,Born_Country_Longitude,Born_Country_coordinates,continent
1,0,9979,Physics,Mar 1845,Wilhelm Conrad Röntgen,Male,1,Deceased,Start,Start,Prussia (now Germany),Dec 1901,Feb 1923,Nov 1817,Feb 1923,Wilhelm Conrad,Röntgen,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,Start,56,1840,1901,51.165691,10.451526,"51.165691, 10.451526",Europe
2,0,13014,Physics,Jul 1853,Hendrik A. Lorentz,Male,2,Deceased,Start,Start,Netherlands,Dec 1902,Feb 1928,Nov 1817,Feb 1928,Hendrik A.,Lorentz,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Start,49,1850,1902,52.132633,5.291265999999999,"52.132633, 5.291265999999999",Europe
3,0,17343,Physics,May 1865,Pieter Zeeman,Male,3,Deceased,Start,Start,Netherlands,Dec 1902,Oct 1943,Nov 1817,Oct 1943,Pieter,Zeeman,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,Start,37,1860,1902,52.132633,5.291265999999999,"52.132633, 5.291265999999999",Europe
4,0,12799,Physics,Dec 1852,Henri Becquerel,Male,4,Deceased,Start,Start,France,Dec 1903,Aug 1908,Nov 1817,Aug 1908,Henri,Becquerel,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,Start,51,1850,1903,46.227638,2.213749,"46.227638, 2.213749",Europe
5,0,15141,Physics,May 1859,Pierre Curie,Male,5,Deceased,Start,Start,France,Dec 1903,Apr 1906,Nov 1817,Apr 1906,Pierre,Curie,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,Start,44,1850,1903,46.227638,2.213749,"46.227638, 2.213749",Europe
6,0,18239,Physics,Nov 1867,Marie Curie,Female,6,Deceased,Start,Start,Russian Empire (now Poland),Dec 1903,Jul 1934,Nov 1817,Jul 1934,Marie,Curie,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,Start,36,1860,1903,51.919438,19.145136,"51.919438, 19.145136",Europe
7,0,18239,Chemistry,Nov 1867,Marie Curie,Female,6,Deceased,Start,Start,Russian Empire (now Poland),Dec 1911,Jul 1934,Nov 1817,Jul 1934,Marie,Curie,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element,Start,44,1860,1911,51.919438,19.145136,"51.919438, 19.145136",Europe
8,0,9113,Physics,Nov 1842,Lord Rayleigh,Male,8,Deceased,Start,Start,United Kingdom,Dec 1904,Jun 1919,Nov 1817,Jun 1919,Lord,Rayleigh,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,Start,62,1840,1904,55.378051,-3.435973,"55.378051, -3.435973",Europe
9,0,16260,Physics,Jun 1862,Philipp Lenard,Male,9,Deceased,Start,Start,Hungary (now Slovakia),Dec 1905,May 1947,Nov 1817,May 1947,Philipp,Lenard,"""for his work on cathode rays""",for his work on cathode rays,Start,43,1860,1905,48.669026,19.699024,"48.669026, 19.699024",Europe
10,0,14263,Physics,Dec 1856,J.J. Thomson,Male,10,Deceased,Start,Start,United Kingdom,Dec 1906,Aug 1940,Nov 1817,Aug 1940,J.J.,Thomson,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,Start,50,1850,1906,55.378051,-3.435973,"55.378051, -3.435973",Europe
11,0,12803,Physics,Dec 1852,Albert A. Michelson,Male,11,Deceased,Start,Start,Prussia (now Poland),Dec 1907,May 1931,Nov 1817,May 1931,Albert A.,Michelson,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,Start,55,1850,1907,51.919438,19.145136,"51.919438, 19.145136",Europe
12,0,10121,Physics,Aug 1845,Gabriel Lippmann,Male,12,Deceased,Start,Start,Luxembourg,Dec 1908,Jul 1921,Nov 1817,Jul 1921,Gabriel,Lippmann,"""for his method of reproducing colours photographically based on the phenomenon of interference""",for his method of reproducing colours photographically based on the phenomenon of interference,Start,63,1840,1908,49.815273,6.129582999999999,"49.815273, 6.129582999999999",Europe
13,0,20600,Physics,Apr 1874,Guglielmo Marconi,Male,13,Deceased,Start,Start,Italy,Dec 1909,Jul 1937,Nov 1817,Jul 1937,Guglielmo,Marconi,"""in recognition of their contributions to the development of wireless telegraphy""",in recognition of their contributions to the development of wireless telegraphy,Start,35,1870,1909,41.87194,12.56738,"41.87194, 12.56738",Europe
14,0,11876,Physics,Jun 1850,Ferdinand Braun,Male,14,Deceased,Start,Start,Hesse-Kassel (now Germany),Dec 1909,Apr 1918,Nov 1817,Apr 1918,Ferdinand,Braun,"""in recognition of their contributions to the development of wireless telegraphy""",in recognition of their contributions to the development of wireless telegraphy,Start,59,1850,1909,51.3127114,9.4797461,"51.3127114, 9.4797461",Europe
15,0,7298,Physics,Nov 1837,Johannes Diderik van der Waals,Male,15,Deceased,Start,Start,Netherlands,Dec 1910,Mar 1923,Nov 1817,Mar 1923,Johannes Diderik,van der Waals,"""for his work on the equation of state for gases and liquids""",for his work on the equation of state for gases and liquids,Start,73,1830,1910,52.132633,5.291265999999999,"52.132633, 5.291265999999999",Europe
16,0,16845,Physics,Jan 1864,Wilhelm Wien,Male,16,Deceased,Start,Start,Prussia (now Russia),Dec 1911,Aug 1928,Nov 1817,Aug 1928,Wilhelm,Wien,"""for his discoveries regarding the laws governing the radiation of heat""",for his discoveries regarding the laws governing the radiation of heat,Start,47,1860,1911,61.52401,105.318756,"61.52401, 105.318756",Asia
